Country Name,Indicator Name,Year,Value
European Union,"Life expectancy at birth, total (years)",1962,69.51456838
European Union,"Life expectancy at birth, total (years)",1967,70.67725898
European Union,"Life expectancy at birth, total (years)",1972,71.41381483
European Union,"Life expectancy at birth, total (years)",1977,72.40873981
European Union,"Life expectancy at birth, total (years)",1982,73.46395216
European Union,"Life expectancy at birth, total (years)",1987,74.38688872
European Union,"Life expectancy at birth, total (years)",1992,75.28681784
European Union,"Life expectancy at birth, total (years)",1997,76.35870711
European Union,"Life expectancy at birth, total (years)",2002,77.60548207
European Union,"Life expectancy at birth, total (years)",2007,78.96821027
